Date,Open,High,Low,Close,Adj Close,Volume
26-12-18,95.889999,98.370003,93.849998,98.290001,95.616402,666300
27-12-18,96.309998,99.760002,96.059998,99.75,97.036674,396500
28-12-18,99.449997,99.82,98.059998,98.400002,95.723404,397900
31-12-18,99.559998,99.940002,97.733002,99.440002,96.735123,305800
02-01-19,98.099998,99.209999,97.610001,98.699997,96.015244,293100
03-01-19,98.849998,98.889999,96.620003,96.980003,94.342041,450400
04-01-19,100.230003,102.779999,99.260002,102.230003,99.449234,524200
07-01-19,103.32,105.730003,102.949997,104.480003,101.638023,427500
08-01-19,107.620003,109.25,107.400002,108.580002,105.626503,762200
09-01-19,112.160004,113.035004,111.139999,111.190002,108.165512,490600
10-01-19,109.870003,111.290001,109.410004,110.790001,107.776382,298400
11-01-19,111.739998,111.75,110.410004,110.839996,107.825027,250600
14-01-19,110.610001,111.389999,110.120003,110.879997,107.86393,225800
15-01-19,112.550003,112.839996,111.400002,112.370003,109.313408,327100
16-01-19,111.900002,113.919998,111.809998,113.129997,110.052734,329800
17-01-19,113.559998,114.737,112.964996,113.709999,110.616951,278900
18-01-19,114.260002,114.480003,112.720001,113.290001,110.208382,372300
22-01-19,112.230003,112.610001,110.589996,111.690002,108.651909,276200
23-01-19,111.209999,111.629997,109.489998,110.199997,107.202431,340100
24-01-19,110.949997,112.470001,110.779999,112.389999,109.332855,303100
25-01-19,111.970001,112.190002,111.050003,111.239998,108.214142,339300
28-01-19,110.110001,110.449997,108.839996,110.419998,107.416451,329000
29-01-19,110.790001,111.040001,109.769997,110.550003,107.542915,437600
30-01-19,110.809998,112.940002,110.410004,112.690002,109.624702,707300
31-01-19,116.040001,127.07,116.040001,126.300003,122.864494,2257500
01-02-19,126.07,127.550003,125.855003,127.129997,123.671913,1079100
04-02-19,126.010002,127.220001,125.790001,127.220001,123.75946,415500
05-02-19,127.970001,128.169998,127.019997,127.279999,123.817833,464400
06-02-19,127.029999,127.650002,126.75,126.959999,123.506538,191400
07-02-19,123.370003,124.779999,123.031998,124.589996,121.201004,385500
08-02-19,123.199997,124.32,122.779999,124.279999,120.899445,396600
11-02-19,123.260002,123.970001,123.230003,123.5,120.140663,332800
12-02-19,124.099998,126.684998,124.099998,126.440002,123.000687,745200
13-02-19,125.809998,126.150002,124.959999,125.25,121.843056,320300
14-02-19,124.5,125.510002,124.160004,125.059998,121.658226,313700
15-02-19,125.68,126.400002,125.301003,125.980003,122.5532,430000
19-02-19,125.739998,126.910004,125.730003,126.370003,122.932587,155100
20-02-19,126.32,126.739998,125.57,125.769997,122.348907,221400
21-02-19,125.599998,126.730003,125.529999,126.300003,122.864494,188200
22-02-19,126.25,126.589996,125.650002,126.029999,122.601845,325600
25-02-19,127.129997,128.270004,126.769997,128.039993,124.557159,441900
26-02-19,128.070007,129.727997,128.029999,129.050003,125.539688,275300
27-02-19,128.589996,129.110001,127.719002,128.669998,125.170021,271600
28-02-19,128.130005,128.860001,128.029999,128.259995,124.771164,261600
01-03-19,130.289993,131.919998,129.919998,131.800003,128.21489,452000
04-03-19,131.800003,132.160004,130.029999,130.800003,127.242088,412000
05-03-19,130.509995,131.850006,130.388,131.759995,128.175964,239500
